document,Snt,Original Sentence,Modified Phrase,Type of Change,Sub-phrase
english_umr-0005,1,The United States is hoping that Russia's President Vladimir Putin will follow the advice of his special commission and pardon Edmund Pope .,I'm hoping that he will follow my advice,Replace word,The United States is hoping that Russia's President Vladimir Putin will follow the advice
english_umr-0005,2,This week the American businessman began serving a 20-year prison sentence in Moscow after being convicted of spying.,"This week, he  began serving a prison sentence.",attribute,"This week, he  began serving a 20-year prison sentence."
english_umr-0005,3,Specifically Russian prosecutors charged that Pope had stolen secrets relating to a high - speed Russian torpedo .,Pope had not stolen secrets ,attribute,Pope had stolen secrets relating to a high-speed Russian torpedo
english_umr-0005,4,Pope denied the charges and Washington backed him up .,He accepted the charges,Replace word,Pope denied the charges
english_umr-0005,5,Marsha Lipman is Editor of Moscow based news magazine 'Itogi'.,Marsha Lipman is Editor of Moscow based news magazine,Change polarity,Marsha Lipman is not Editor of Moscow based news magazine 'Itogi'
english_umr-0005,6,"Marsha, did the Presidential Pardons Commission give any reason for their decision?",the Presidential Pardons Commission give any reason,Change polarity,"Marsha, did the Presidential Pardons Commission give no reason for their decision?"
english_umr-0005,7,It gave several reasons.,It gave several reasons,Change polarity,It gave no reasons
english_umr-0005,8,"I am not sure if those were the formal reasons but members of the commission have been interviewed today by various outlets and they say that they were afraid of the spy mania rising in Russia, that they thought it was really suspicious to them that Edmund Pope was sentenced to the maximum term, whereas the article of the law had 10 to 20 years.",members of the commission have been interviewed today by various outlets,Replace word,I am not sure if those were the formal reasons but the commission had not been interviewed today.
english_umr-0005,9,"He was sentenced to 20, even though according to the members of the Pardon Commission, the evidence that was presented by the prosecution was far from quotient.",He was sentenced to 20,Structural change,He was pardoned with some restrictions despite the presented evidence being weak.
english_umr-0005,10,They also said this court did not give the lawyers for the defense due procedure.,this court did not give the lawyers for the defense due procedure,Change polarity,The court gave the lawyers for the defense proper procedure
english_umr-0005,11,The court listened to the defense much less than it did to the prosecution.,The court listened to the defense much less,Change polarity,The court listened to the defense more than it did to the prosecution
english_umr-0005,12,"Much of this sounds less like a pardon and more like a criticism of the number of institutions that Mr. Putin also has to show some support of, including his court system and his police and his prosecutors.",a criticism of the number of institutions Mr. Putin has to show some support of,Structural change,Much of this sounds more like a praise of the number of institutions Putin supports.
english_umr-0005,13,How is he going to respond to this and when?,How is he going to respond,Change polarity,How is he not going to respond
english_umr-0005,14,I don't think anybody knows and I don't think anybody will know until President Putin has responded.,I don't think anybody knows,Replace word,I don't think anybody knows and President Putin has responded.
english_umr-0005,15,It is his decision.,It is his decision,Change polarity,It isn't his decision
english_umr-0005,16,"According to the Russian law the Pardon Commission, after it has made its decision, sends it to the President and it's up to him whether to endorse it or not to say no.",the Pardon Commission sends it to the President,Structural change,"According to Russian law, the Pardon Commission directly endorses decisions."
english_umr-0005,17,"One last question for you, Marsha.",One last question,Replace word,"One question for you, Marsha."
english_umr-0005,18,"He does have a lot to balance doesn't he, President Putin?",He does have a lot to balance,Change polarity,"He does not have a lot to balance, does he, President Putin?"
english_umr-0005,19,Not only the institutions I mentioned but the need to keep things somehow free of tension.,the need to keep things somehow free of tension,Replace word,The need to balance things freely without tension
english_umr-0005,20,Is this case likely to strain US-Russian relations?,Is this case likely to strain US-Russian relations?,Change polarity,Is this case likely to strengthen US-Russian relations?
english_umr-0005,21,I'm afraid it might.,I'm afraid it might,Change polarity,I believe it might not.
english_umr-0005,22,Recently the Russian policy toward the US has fallen into a line where Russia tries to demonstrate force it once had but no longer does.,the Russian policy toward the US has fallen into a line,Replace word,"Recently, Russia's policy toward the US was weak and ineffective"
english_umr-0005,23,It wants to put an end to what is regarded by the current Russian government as humiliation of the past years.,it wants to put an end to humiliation of the past years,Change polarity,It wants to continue its stance on humiliation from the past.
english_umr-0005,24,"There were numerous attempts to be a source of minor troubles even though Russia can no longer be a source of scare to the west and among such instances there were several, there was just recently flying over by Russian military planes over Kitty Hawk, an American warship.",attempts to be a source of minor troubles,Structural change,"There were numerous attempts at peace, even if Russia's military no longer has dominance"
english_umr-0005,25,"There is also a scandal that erupted over Russia's declaration that it will sell weapons to Iran, contrary to the earlier made agreement.",there is a scandal that erupted over Russia's declaration,Change polarity,There was no scandal about Russia's declaration
english_umr-0005,26,Marsha Lipman is Editor of the Moscow based news magazine 'Itogi'.,Marsha Lipman is Editor of Moscow based news magazine,Change polarity,Marsha Lipman is not Editor of the Moscow-based magazine
english_umr-0005,27,"Marsha, thank you very much for speaking with us.","Marsha, thank you very much for speaking",Change polarity,"Marsha, thank you very much for not speaking"
english_umr-0005,28,Pleasure.,Pleasure.,Change polarity,Not Pleasure.
english_umr-0005,29,Lindsay left in order to eat lunch.,Lindsay left,Structural change,Lindsay stayed instead of leaving to eat lunch
english_umr-0002,1,"If it rains, Alana won't water the plants.",If it rains,Change polarity,"If it rains, Alana will water the plants"
english_umr-0002,2,Okay.,alright,replace word,Okay.
english_umr-0004,1,And there's a ladder coming out.,there's a ladder coming out,Structural change,and there's a ladder inside.
english_umr-0004,2,The guy walks by.,the guy walks by,Replace word,The guy walks away slowly.
english_umr-0004,3,Edmund Pope tasted freedom today for the first time in more than eight months.,Edmund Pope tasted freedom,Structural change,Edmund Pope was held in confinement today for the first time
english_umr-0004,4,"Pope was flown to the U.S. military base at Ramstein, Germany.",Pope was flown to the U.S. military base,Structural change,Pope was transferred to another location
english_umr-0004,5,Pope was in remission from a rare form of bone cancer when he was arrested in Russia.,Pope was in remission from a rare form of bone cancer,Change polarity,Pope was in full health when arrested in Russia
